Item_Number, UPC_Code, Quantity_NC, Quantity_AZ
410507BK-R,648018013126,3,3
410510PBK,648018127267,3,4
410513BK-R,648018014901,6,2
410525BK-R,648018058059,3,2
410561BK-R,604544616439,4,3
410563BK-R,648018219764,5,4
410568BK-R,604544616248,3,4
410570BK-R,604544671094,5,4
410576BK-R,604544671100,10,4
410577BK-R,604544671117,6,3
410600PBK,648018014376,6,4
410610PBK,648018127281,0,5
410700BKR,604544647990,3,3
410701BKR,604544648058,2,0
410707BKR,604544662795,2,2
410757BKR,604544648041,2,2
410761ABKR,604544659603,0,0
410770BKR,604544662474,1,2
410777BKR,604544662658,2,2
416000BK,604544673494,0,1
416002BK,604544673500,6,6
416049BK,604544673593,0,1
416063BK,604544673562,98,77
416068BK,604544673517,6,3
416070BK,604544673531,3,2
416076BK,604544673524,5,2
416078BK,604544673548,0,0
416102BK,604544673708,0,2
416168BK,604544673715,0,0
416176BK,604544673722,1,2
417502UG,604544615586,7,29
417525UG,604544617849,23,1
417563UG,604544615593,2,2
417568UG,604544615715,10,0
417570UG,604544664164,8,3
417576UG,604544664171,6,2
417578UG,604544664188,6,2
419000BBR,604544621594,5,2
419002BBR,604544621631,6,3
70GS12BK,648018090554,11,15
70GS15BK,648018127496,0,0
70GS16BK,648018121128,15,3
70UT00BK,648018009976,0,0
71RA01BK,648018175015,0,0
73IP04BK-R,648018049576,2,2
73IP05BK-L,648018090882,2,2
73IP05BK-R,648018049583,2,2
73IP06BK-R,648018049590,2,2
73IP07BK-L,648018090905,2,3
73IP07BK-R,648018049606,3,2
74SG36BK,648018189470,39,25
40IP06BK,648018010866,1,2
410776BKR,604544662603,4,0
416100BK,604544673692,3,5
416142BK,604544673777,2,2
4160003,689585854385,0,0
525256,689585855559,0,0
525257,689585855566,43,38
11238801,713440971198,0,0
1099442,661120416692,0,0
1099443,661120416708,6,14
1100477,661120418245,9,0
1100478,661120418252,3,1
1100479,661120418269,6,0
1100481,661120418405,0,2
1100483,661120418450,0,19
1117132,661120079057,0,4
1134446,661120103813,0,0
1137118,661120106487,4,0
BABU45ACP,855959003301,0,0
BAC2K45/410,855959001147,11,3
BACD45/410,855959001178,5,0
BAGR-45/410,855959002892,26,0
BAM357/38,855959002502,35,16
BAPA-45/410,855959006135,15,12
BARII357/38,855959002618,63,38
BARII45/410,855959001840,13,10
BARN-45ACP,855959008955,27,24
BARR45/410,855959001574,33,17
BARW-45/410,855959009983,0,16
BASL-22LR,855959007408,99+,99+
BASL-380ACP,855959009761,95,22
BASL-9MM,855959001369,31,19
BASRS-22LR,855959002366,99+,61
BASRS-380ACP,855959005534,0,7
BASRS-9MM,855959005930,0,8
